name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
vancouver,2020-12-31T00:00:00,5.9,3,5.3,95.97,1.376,100,rain,0,0,33.4,14.3,90,1005.7,84.6,13,0,,0,,"Rain, Partially cloudy",rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T01:00:00,5.7,2.9,5,95.13,0.191,100,rain,0,0,,13.4,80,1006.3,100,12,0,,0,,"Rain, Overcast",rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T02:00:00,5.8,3.5,4.9,93.72,0.606,100,rain,0,0,63,10.7,70,1007.4,71.2,16,0,,0,,"Rain, Partially cloudy",rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T03:00:00,5.7,3.7,4.8,94.11,0.108,100,rain,0,0,57.2,9.3,44,1008.5,80.7,24,0,,0,,"Rain, Partially cloudy",rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T04:00:00,5.5,3.5,5.1,96.73,2.166,100,rain,0,0,,9.2,42,1009.6,100,6,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T05:00:00,5.5,5.5,4.8,95.33,0.017,100,rain,0,0,40.7,3.4,2,1011,92,32,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T06:00:00,5.5,5.5,4.9,95.6,0,0,,0,0,35.3,1.5,3,1012.2,91.9,32,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T07:00:00,5,5,4.5,97.06,0,0,,0,0,,1.7,1,1013.1,100,9,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T08:00:00,5.4,5.4,4.8,96.23,0.014,100,rain,0,0,33.5,3.9,319,1014.4,98.7,32,4.8,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2020-12-31T09:00:00,5.3,5.3,5.2,99.15,0.011,100,rain,0,0,,1,356,1015.4,99.4,24,21,0.1,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2020-12-31T10:00:00,6.1,6.1,5.5,95.78,0.467,100,rain,0,0,,2.7,228,1016.8,90,24,58,0.2,1,,"Rain, Partially cloudy",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2020-12-31T11:00:00,6.6,6.6,5.6,93.27,0.047,100,rain,0,0,37.1,3.5,284,1017.3,99.4,32,92,0.3,1,,"Rain, Overcast",rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,F1856"
vancouver,2020-12-31T12:00:00,7,7,5.8,91.64,0,0,,0,0,,2.4,15,1017.6,99.5,32,94,0.3,1,,Overcast,cloudy,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,F1856"
vancouver,2020-12-31T13:00:00,6.7,6.7,6,95.23,0,0,,0,0,,3.6,282,1018,100,30,66,0.2,1,,Overcast,cloudy,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,F1856"
vancouver,2020-12-31T14:00:00,6.5,5.1,6.4,99.87,0,0,,0,0,,7,126,1017.9,99.9,24,68,0.2,1,,Overcast,cloudy,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,F1856"
