name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vancouver,2020-10-31,10.3,4.7,7.3,10.3,4.6,7.2,4.7,83.8,0,0,0,,0,0,,6.3,338.7,1029,47.8,42.3,88.8,7.6,4,,2020-10-31T07:59:48,2020-10-31T17:51:33,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-01,12.6,4.5,7.5,12.6,3.1,7.3,5.4,86.8,0,0,0,,0,0,,7.5,349.3,1024.2,29.9,37.2,96,8.6,4,,2020-11-01T07:01:25,2020-11-01T16:49:54,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-02,13.3,5.2,10.1,13.3,5.2,10,6.7,80.4,0,0,0,,0,0,27.7,8.4,67.7,1017.9,63.8,28.1,76.5,6.6,4,,2020-11-02T07:03:02,2020-11-02T16:48:16,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-03,11.1,9.6,10.4,11.1,8.6,10.3,9.8,96.3,48.001,100,95.83,rain,0,0,31.3,13.8,80.6,1011.2,90.2,12.1,6.8,0.5,0,,2020-11-03T07:04:39,2020-11-03T16:46:40,0.61,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,D3147,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-04,14.7,11.7,13.4,14.7,11.7,13.4,12.6,95.3,9.755,100,70.83,rain,0,0,31.3,15.5,108.1,1011.9,90.9,26.1,12.7,1,1,,2020-11-04T07:06:16,2020-11-04T16:45:06,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-05,14.3,6.6,10.1,14.3,6.2,10.1,6.5,78.6,0.008,100,8.33,rain,0,0,38.9,14.4,280.5,1015.5,82.9,31.5,39.7,3.3,2,,2020-11-05T07:07:53,2020-11-05T16:43:34,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"71608099999,CWWA,71784099999,CWSK,CWEL,CWEZ,CWWK,71892099999,CWMM,71042099999,71201099999,F1856"
vancouver,2020-11-06,9.3,3.8,6.7,9,0.4,4.7,2.9,76.9,0,0,0,,0,0,44.3,20.7,324.1,1012.2,36.4,31.3,94.3,8.1,4,,2020-11-06T07:09:31,2020-11-06T16:42:03,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-07,9.1,2.5,5.7,9.1,-0.5,4.2,-0.3,69.1,0,0,0,,0,0,35.3,16.3,342.2,1008.9,30.6,31.3,66.2,5.7,3,,2020-11-07T07:11:08,2020-11-07T16:40:34,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-08,8.4,1.8,4.6,8.3,-1.4,4.1,-3.6,56.9,0,0,0,,0,0,,14.5,354.8,1018.5,13,29.5,90.7,7.8,4,,2020-11-08T07:12:44,2020-11-08T16:39:07,0.75,Clear,Clear conditions throughout the day.,clear-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-09,5,1.6,3.6,4.9,-0.4,2.1,0.7,81.7,3.277,100,41.67,rain,0,0,,14.2,81.9,1020.6,85.8,23.1,21.2,1.7,1,,2020-11-09T07:14:21,2020-11-09T16:37:42,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,F1130,71784099999,71892099999,71042099999,71201099999,F1856"
